Data e horário,Energia por retificador alternado | 15BR-27513398,Energia por retificador alternado por kWp | 15BR-27513398,Instalação total,
[dd.MM.yyyy],[kWh],[kWh/kWp],[kWh],
01.02.2024,  26.36596,   1.75773,  26.36596,
02.02.2024,  20.61565,   1.37438,  20.61565,
03.02.2024,  25.39456,   1.69297,  25.39456,
04.02.2024,  24.99738,   1.66649,  24.99738,
05.02.2024,  35.4564 ,   2.36376,  35.4564 ,
06.02.2024,  34.18074,   2.27872,  34.18074,
07.02.2024,  29.45296,   1.96353,  29.45296,
08.02.2024,  32.13333,   2.14222,  32.13333,
09.02.2024,  33.44109,   2.22941,  33.44109,
10.02.2024,  32.10774,   2.14052,  32.10774,
11.02.2024,  32.26482,   2.15099,  32.26482,
12.02.2024,  32.95306,   2.19687,  32.95306,
13.02.2024,  30.30464,   2.02031,  30.30464,
14.02.2024,  19.21662,   1.28111,  19.21662,
15.02.2024,  15.74377,   1.04958,  15.74377,
16.02.2024,  25.19964,   1.67998,  25.19964,
17.02.2024,  28.57708,   1.90514,  28.57708,
18.02.2024,  19.32492,   1.28833,  19.32492,
19.02.2024,  31.78556,   2.11904,  31.78556,
20.02.2024,  19.31312,   1.28754,  19.31312,
21.02.2024,  24.32314,   1.62154,  24.32314,
22.02.2024,  32.95537,   2.19702,  32.95537,
23.02.2024,  31.34643,   2.08976,  31.34643,
24.02.2024,  18.17257,   1.2115 ,  18.17257,
25.02.2024,  32.29124,   2.15275,  32.29124,
26.02.2024,  30.75057,   2.05004,  30.75057,
27.02.2024,  31.09686,   2.07312,  31.09686,
28.02.2024,  24.00914,   1.60061,  24.00914,
29.02.2024,  29.74265,   1.98284,  29.74265,
,,,,
